algorithm,matrix_size,run,time_ms,residual,status
Jewell  (Hash + Pivot),2,1,0.108375,3.552714e-15,OK
Jewell  (Hash + Pivot),2,2,0.023250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,3,0.016208,3.552714e-15,OK
Jewell  (Hash + Pivot),2,4,0.013709,3.552714e-15,OK
Jewell  (Hash + Pivot),2,5,0.013000,3.552714e-15,OK
Jewell  (Hash + Pivot),2,6,0.013083,3.552714e-15,OK
Jewell  (Hash + Pivot),2,7,0.012250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,8,0.014250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,9,0.012083,3.552714e-15,OK
Jewell  (Hash + Pivot),2,10,0.011958,3.552714e-15,OK
Jewell  (Hash + Pivot),2,11,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,12,0.012167,3.552714e-15,OK
Jewell  (Hash + Pivot),2,13,0.011917,3.552714e-15,OK
Jewell  (Hash + Pivot),2,14,0.012500,3.552714e-15,OK
Jewell  (Hash + Pivot),2,15,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,16,0.011916,3.552714e-15,OK
Jewell  (Hash + Pivot),2,17,0.011666,3.552714e-15,OK
Jewell  (Hash + Pivot),2,18,0.011708,3.552714e-15,OK
Jewell  (Hash + Pivot),2,19,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,20,0.011833,3.552714e-15,OK
Jewell  (Hash + Pivot),2,21,0.011792,3.552714e-15,OK
Jewell  (Hash + Pivot),2,22,0.011958,3.552714e-15,OK
Jewell  (Hash + Pivot),2,23,0.011708,3.552714e-15,OK
Jewell  (Hash + Pivot),2,24,0.011416,3.552714e-15,OK
Jewell  (Hash + Pivot),2,25,0.011667,3.552714e-15,OK
Jewell  (Hash + Pivot),2,26,0.011750,3.552714e-15,OK
Jewell  (Hash + Pivot),2,27,0.012041,3.552714e-15,OK
Jewell  (Hash + Pivot),2,28,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,29,0.012167,3.552714e-15,OK
Jewell  (Hash + Pivot),2,30,0.011583,3.552714e-15,OK
Carson  (LU Decomp),2,1,5.302333,3.552714e-15,OK
Carson  (LU Decomp),2,2,0.076333,3.552714e-15,OK
Carson  (LU Decomp),2,3,0.058125,3.552714e-15,OK
Carson  (LU Decomp),2,4,0.050917,3.552714e-15,OK
Carson  (LU Decomp),2,5,0.049750,3.552714e-15,OK
Carson  (LU Decomp),2,6,0.046916,3.552714e-15,OK
Carson  (LU Decomp),2,7,0.046209,3.552714e-15,OK
Carson  (LU Decomp),2,8,0.044125,3.552714e-15,OK
Carson  (LU Decomp),2,9,0.044041,3.552714e-15,OK
Carson  (LU Decomp),2,10,0.044250,3.552714e-15,OK
Carson  (LU Decomp),2,11,0.043792,3.552714e-15,OK
Carson  (LU Decomp),2,12,0.045791,3.552714e-15,OK
Carson  (LU Decomp),2,13,0.042917,3.552714e-15,OK
Carson  (LU Decomp),2,14,0.043792,3.552714e-15,OK
Carson  (LU Decomp),2,15,0.043834,3.552714e-15,OK
Carson  (LU Decomp),2,16,0.042542,3.552714e-15,OK
Carson  (LU Decomp),2,17,0.042708,3.552714e-15,OK
Carson  (LU Decomp),2,18,0.047958,3.552714e-15,OK
Carson  (LU Decomp),2,19,0.103333,3.552714e-15,OK
Carson  (LU Decomp),2,20,0.073625,3.552714e-15,OK
Carson  (LU Decomp),2,21,0.064584,3.552714e-15,OK
Carson  (LU Decomp),2,22,0.047875,3.552714e-15,OK
Carson  (LU Decomp),2,23,0.048083,3.552714e-15,OK
Carson  (LU Decomp),2,24,0.044583,3.552714e-15,OK
Carson  (LU Decomp),2,25,0.045500,3.552714e-15,OK
Carson  (LU Decomp),2,26,0.044666,3.552714e-15,OK
Carson  (LU Decomp),2,27,0.047167,3.552714e-15,OK
Carson  (LU Decomp),2,28,0.042917,3.552714e-15,OK
Carson  (LU Decomp),2,29,0.044250,3.552714e-15,OK
Carson  (LU Decomp),2,30,0.042333,3.552714e-15,OK
Damian  (RREF),2,1,0.021541,3.552714e-15,OK
Damian  (RREF),2,2,0.009750,3.552714e-15,OK
Damian  (RREF),2,3,0.006583,3.552714e-15,OK
Damian  (RREF),2,4,0.005542,3.552714e-15,OK
Damian  (RREF),2,5,0.005417,3.552714e-15,OK
Damian  (RREF),2,6,0.005292,3.552714e-15,OK
Damian  (RREF),2,7,0.005042,3.552714e-15,OK
Damian  (RREF),2,8,0.005042,3.552714e-15,OK
Damian  (RREF),2,9,0.004917,3.552714e-15,OK
Damian  (RREF),2,10,0.005125,3.552714e-15,OK
Damian  (RREF),2,11,0.004959,3.552714e-15,OK
Damian  (RREF),2,12,0.005208,3.552714e-15,OK
Damian  (RREF),2,13,0.004833,3.552714e-15,OK
Damian  (RREF),2,14,0.005166,3.552714e-15,OK
Damian  (RREF),2,15,0.004834,3.552714e-15,OK
Damian  (RREF),2,16,0.004792,3.552714e-15,OK
Damian  (RREF),2,17,0.004959,3.552714e-15,OK
Damian  (RREF),2,18,0.004917,3.552714e-15,OK
Damian  (RREF),2,19,0.004875,3.552714e-15,OK
Damian  (RREF),2,20,0.004834,3.552714e-15,OK
Damian  (RREF),2,21,0.005083,3.552714e-15,OK
Damian  (RREF),2,22,0.004917,3.552714e-15,OK
Damian  (RREF),2,23,0.005041,3.552714e-15,OK
Damian  (RREF),2,24,0.005000,3.552714e-15,OK
Damian  (RREF),2,25,0.004833,3.552714e-15,OK
Damian  (RREF),2,26,0.004833,3.552714e-15,OK
Damian  (RREF),2,27,0.004792,3.552714e-15,OK
Damian  (RREF),2,28,0.004792,3.552714e-15,OK
Damian  (RREF),2,29,0.004958,3.552714e-15,OK
Damian  (RREF),2,30,0.005000,3.552714e-15,OK
Tyler   (Graph-based),2,1,0.403959,3.552714e-15,OK
Tyler   (Graph-based),2,2,0.066750,3.552714e-15,OK
Tyler   (Graph-based),2,3,0.051334,3.552714e-15,OK
Tyler   (Graph-based),2,4,0.047875,3.552714e-15,OK
Tyler   (Graph-based),2,5,0.047083,3.552714e-15,OK
Tyler   (Graph-based),2,6,0.045125,3.552714e-15,OK
Tyler   (Graph-based),2,7,0.042833,3.552714e-15,OK
Tyler   (Graph-based),2,8,0.042333,3.552714e-15,OK
Tyler   (Graph-based),2,9,0.043917,3.552714e-15,OK
Tyler   (Graph-based),2,10,0.043000,3.552714e-15,OK
Tyler   (Graph-based),2,11,0.042041,3.552714e-15,OK
Tyler   (Graph-based),2,12,0.044000,3.552714e-15,OK
Tyler   (Graph-based),2,13,0.041583,3.552714e-15,OK
Tyler   (Graph-based),2,14,0.042500,3.552714e-15,OK
Tyler   (Graph-based),2,15,0.041958,3.552714e-15,OK
Tyler   (Graph-based),2,16,0.046333,3.552714e-15,OK
Tyler   (Graph-based),2,17,0.042000,3.552714e-15,OK
Tyler   (Graph-based),2,18,0.041375,3.552714e-15,OK
Tyler   (Graph-based),2,19,0.041417,3.552714e-15,OK
Tyler   (Graph-based),2,20,0.042875,3.552714e-15,OK
Tyler   (Graph-based),2,21,0.041833,3.552714e-15,OK
Tyler   (Graph-based),2,22,0.041250,3.552714e-15,OK
Tyler   (Graph-based),2,23,0.041166,3.552714e-15,OK
Tyler   (Graph-based),2,24,0.040917,3.552714e-15,OK
Tyler   (Graph-based),2,25,0.041042,3.552714e-15,OK
Tyler   (Graph-based),2,26,0.041125,3.552714e-15,OK
Tyler   (Graph-based),2,27,0.047000,3.552714e-15,OK
Tyler   (Graph-based),2,28,0.041458,3.552714e-15,OK
Tyler   (Graph-based),2,29,0.042250,3.552714e-15,OK
Tyler   (Graph-based),2,30,0.041833,3.552714e-15,OK
Jewell  (Hash + Pivot),4,1,0.070333,6.081266e-14,OK
Jewell  (Hash + Pivot),4,2,0.041542,6.081266e-14,OK
Jewell  (Hash + Pivot),4,3,0.039500,6.081266e-14,OK
Jewell  (Hash + Pivot),4,4,0.038959,6.081266e-14,OK
Jewell  (Hash + Pivot),4,5,0.038667,6.081266e-14,OK
Jewell  (Hash + Pivot),4,6,0.038625,6.081266e-14,OK
Jewell  (Hash + Pivot),4,7,0.038209,6.081266e-14,OK
Jewell  (Hash + Pivot),4,8,0.037667,6.081266e-14,OK
Jewell  (Hash + Pivot),4,9,0.038000,6.081266e-14,OK
Jewell  (Hash + Pivot),4,10,0.037625,6.081266e-14,OK
Jewell  (Hash + Pivot),4,11,0.037209,6.081266e-14,OK
Jewell  (Hash + Pivot),4,12,0.037791,6.081266e-14,OK
Jewell  (Hash + Pivot),4,13,0.037459,6.081266e-14,OK
Jewell  (Hash + Pivot),4,14,0.037750,6.081266e-14,OK
Jewell  (Hash + Pivot),4,15,0.037708,6.081266e-14,OK
Jewell  (Hash + Pivot),4,16,0.038750,6.081266e-14,OK
Jewell  (Hash + Pivot),4,17,0.037417,6.081266e-14,OK
Jewell  (Hash + Pivot),4,18,0.037500,6.081266e-14,OK
Jewell  (Hash + Pivot),4,19,0.037500,6.081266e-14,OK
Jewell  (Hash + Pivot),4,20,0.037375,6.081266e-14,OK
Jewell  (Hash + Pivot),4,21,0.037375,6.081266e-14,OK
Jewell  (Hash + Pivot),4,22,0.037166,6.081266e-14,OK
Jewell  (Hash + Pivot),4,23,0.037209,6.081266e-14,OK
Jewell  (Hash + Pivot),4,24,0.037500,6.081266e-14,OK
Jewell  (Hash + Pivot),4,25,0.037416,6.081266e-14,OK
Jewell  (Hash + Pivot),4,26,0.037166,6.081266e-14,OK
Jewell  (Hash + Pivot),4,27,0.037625,6.081266e-14,OK
Jewell  (Hash + Pivot),4,28,0.037667,6.081266e-14,OK
Jewell  (Hash + Pivot),4,29,0.037625,6.081266e-14,OK
Jewell  (Hash + Pivot),4,30,0.037500,6.081266e-14,OK
Carson  (LU Decomp),4,1,0.081958,7.720654e+01,OK
Carson  (LU Decomp),4,2,0.053750,7.720654e+01,OK
Carson  (LU Decomp),4,3,0.047458,7.720654e+01,OK
Carson  (LU Decomp),4,4,0.045500,7.720654e+01,OK
Carson  (LU Decomp),4,5,0.046542,7.720654e+01,OK
Carson  (LU Decomp),4,6,0.046250,7.720654e+01,OK
Carson  (LU Decomp),4,7,0.044458,7.720654e+01,OK
Carson  (LU Decomp),4,8,0.052750,7.720654e+01,OK
Carson  (LU Decomp),4,9,0.043667,7.720654e+01,OK
Carson  (LU Decomp),4,10,0.043583,7.720654e+01,OK
Carson  (LU Decomp),4,11,0.044500,7.720654e+01,OK
Carson  (LU Decomp),4,12,0.044209,7.720654e+01,OK
Carson  (LU Decomp),4,13,0.043125,7.720654e+01,OK
Carson  (LU Decomp),4,14,0.043500,7.720654e+01,OK
Carson  (LU Decomp),4,15,0.043125,7.720654e+01,OK
Carson  (LU Decomp),4,16,0.043000,7.720654e+01,OK
Carson  (LU Decomp),4,17,0.043375,7.720654e+01,OK
Carson  (LU Decomp),4,18,0.043333,7.720654e+01,OK
Carson  (LU Decomp),4,19,0.043459,7.720654e+01,OK
Carson  (LU Decomp),4,20,0.043708,7.720654e+01,OK
Carson  (LU Decomp),4,21,0.043292,7.720654e+01,OK
Carson  (LU Decomp),4,22,0.042875,7.720654e+01,OK
Carson  (LU Decomp),4,23,0.043833,7.720654e+01,OK
Carson  (LU Decomp),4,24,0.043042,7.720654e+01,OK
Carson  (LU Decomp),4,25,0.043416,7.720654e+01,OK
Carson  (LU Decomp),4,26,0.042833,7.720654e+01,OK
Carson  (LU Decomp),4,27,0.044167,7.720654e+01,OK
Carson  (LU Decomp),4,28,0.046125,7.720654e+01,OK
Carson  (LU Decomp),4,29,0.046167,7.720654e+01,OK
Carson  (LU Decomp),4,30,0.044084,7.720654e+01,OK
Damian  (RREF),4,1,0.023334,6.521915e-14,OK
Damian  (RREF),4,2,0.016875,6.521915e-14,OK
Damian  (RREF),4,3,0.016416,6.521915e-14,OK
Damian  (RREF),4,4,0.016375,6.521915e-14,OK
Damian  (RREF),4,5,0.015625,6.521915e-14,OK
Damian  (RREF),4,6,0.015666,6.521915e-14,OK
Damian  (RREF),4,7,0.015417,6.521915e-14,OK
Damian  (RREF),4,8,0.015375,6.521915e-14,OK
Damian  (RREF),4,9,0.015375,6.521915e-14,OK
Damian  (RREF),4,10,0.015333,6.521915e-14,OK
Damian  (RREF),4,11,0.015292,6.521915e-14,OK
Damian  (RREF),4,12,0.015209,6.521915e-14,OK
Damian  (RREF),4,13,0.015209,6.521915e-14,OK
Damian  (RREF),4,14,0.015458,6.521915e-14,OK
Damian  (RREF),4,15,0.015292,6.521915e-14,OK
Damian  (RREF),4,16,0.015625,6.521915e-14,OK
Damian  (RREF),4,17,0.015458,6.521915e-14,OK
Damian  (RREF),4,18,0.015333,6.521915e-14,OK
Damian  (RREF),4,19,0.015292,6.521915e-14,OK
Damian  (RREF),4,20,0.015334,6.521915e-14,OK
Damian  (RREF),4,21,0.015417,6.521915e-14,OK
Damian  (RREF),4,22,0.015334,6.521915e-14,OK
Damian  (RREF),4,23,0.015875,6.521915e-14,OK
Damian  (RREF),4,24,0.015708,6.521915e-14,OK
Damian  (RREF),4,25,0.015209,6.521915e-14,OK
Damian  (RREF),4,26,0.015125,6.521915e-14,OK
Damian  (RREF),4,27,0.015458,6.521915e-14,OK
Damian  (RREF),4,28,0.015375,6.521915e-14,OK
Damian  (RREF),4,29,0.015375,6.521915e-14,OK
Damian  (RREF),4,30,0.015208,6.521915e-14,OK
Tyler   (Graph-based),4,1,0.255500,5.136099e-14,OK
Tyler   (Graph-based),4,2,0.234917,5.136099e-14,OK
Tyler   (Graph-based),4,3,0.230083,5.136099e-14,OK
Tyler   (Graph-based),4,4,0.231416,5.136099e-14,OK
Tyler   (Graph-based),4,5,0.231834,5.136099e-14,OK
Tyler   (Graph-based),4,6,0.233583,5.136099e-14,OK
Tyler   (Graph-based),4,7,0.231709,5.136099e-14,OK
Tyler   (Graph-based),4,8,0.233708,5.136099e-14,OK
Tyler   (Graph-based),4,9,0.228375,5.136099e-14,OK
Tyler   (Graph-based),4,10,0.231792,5.136099e-14,OK
Tyler   (Graph-based),4,11,0.227666,5.136099e-14,OK
Tyler   (Graph-based),4,12,0.227666,5.136099e-14,OK
Tyler   (Graph-based),4,13,0.232875,5.136099e-14,OK
Tyler   (Graph-based),4,14,0.239834,5.136099e-14,OK
Tyler   (Graph-based),4,15,0.231459,5.136099e-14,OK
Tyler   (Graph-based),4,16,0.229875,5.136099e-14,OK
Tyler   (Graph-based),4,17,0.228542,5.136099e-14,OK
Tyler   (Graph-based),4,18,0.226542,5.136099e-14,OK
Tyler   (Graph-based),4,19,0.231625,5.136099e-14,OK
Tyler   (Graph-based),4,20,0.226333,5.136099e-14,OK
Tyler   (Graph-based),4,21,0.226042,5.136099e-14,OK
Tyler   (Graph-based),4,22,0.226166,5.136099e-14,OK
Tyler   (Graph-based),4,23,0.226583,5.136099e-14,OK
Tyler   (Graph-based),4,24,0.234000,5.136099e-14,OK
Tyler   (Graph-based),4,25,0.226709,5.136099e-14,OK
Tyler   (Graph-based),4,26,0.226917,5.136099e-14,OK
Tyler   (Graph-based),4,27,0.226584,5.136099e-14,OK
Tyler   (Graph-based),4,28,0.227375,5.136099e-14,OK
Tyler   (Graph-based),4,29,0.225541,5.136099e-14,OK
Tyler   (Graph-based),4,30,0.232750,5.136099e-14,OK
Jewell  (Hash + Pivot),8,1,0.151583,2.514121e+02,OK
Jewell  (Hash + Pivot),8,2,0.113541,2.514121e+02,OK
Jewell  (Hash + Pivot),8,3,0.112000,2.514121e+02,OK
Jewell  (Hash + Pivot),8,4,0.110959,2.514121e+02,OK
Jewell  (Hash + Pivot),8,5,0.111875,2.514121e+02,OK
Jewell  (Hash + Pivot),8,6,0.111292,2.514121e+02,OK
Jewell  (Hash + Pivot),8,7,0.111083,2.514121e+02,OK
Jewell  (Hash + Pivot),8,8,0.110583,2.514121e+02,OK
Jewell  (Hash + Pivot),8,9,0.117125,2.514121e+02,OK
Jewell  (Hash + Pivot),8,10,0.121042,2.514121e+02,OK
Jewell  (Hash + Pivot),8,11,0.111500,2.514121e+02,OK
Jewell  (Hash + Pivot),8,12,0.111416,2.514121e+02,OK
Jewell  (Hash + Pivot),8,13,0.109834,2.514121e+02,OK
Jewell  (Hash + Pivot),8,14,0.110125,2.514121e+02,OK
Jewell  (Hash + Pivot),8,15,0.110125,2.514121e+02,OK
Jewell  (Hash + Pivot),8,16,0.109584,2.514121e+02,OK
Jewell  (Hash + Pivot),8,17,0.110458,2.514121e+02,OK
Jewell  (Hash + Pivot),8,18,0.109917,2.514121e+02,OK
Jewell  (Hash + Pivot),8,19,0.109500,2.514121e+02,OK
Jewell  (Hash + Pivot),8,20,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,21,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,22,0.110042,2.514121e+02,OK
Jewell  (Hash + Pivot),8,23,0.110708,2.514121e+02,OK
Jewell  (Hash + Pivot),8,24,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,25,0.109917,2.514121e+02,OK
Jewell  (Hash + Pivot),8,26,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,27,0.110084,2.514121e+02,OK
Jewell  (Hash + Pivot),8,28,0.109417,2.514121e+02,OK
Jewell  (Hash + Pivot),8,29,0.111125,2.514121e+02,OK
Jewell  (Hash + Pivot),8,30,0.110291,2.514121e+02,OK
Carson  (LU Decomp),8,1,0.081042,2.018494e+02,OK
Carson  (LU Decomp),8,2,0.055959,2.018494e+02,OK
Carson  (LU Decomp),8,3,0.049292,2.018494e+02,OK
Carson  (LU Decomp),8,4,0.047792,2.018494e+02,OK
Carson  (LU Decomp),8,5,0.047042,2.018494e+02,OK
Carson  (LU Decomp),8,6,0.046625,2.018494e+02,OK
Carson  (LU Decomp),8,7,0.046084,2.018494e+02,OK
Carson  (LU Decomp),8,8,0.046958,2.018494e+02,OK
Carson  (LU Decomp),8,9,0.046167,2.018494e+02,OK
Carson  (LU Decomp),8,10,0.046250,2.018494e+02,OK
Carson  (LU Decomp),8,11,0.046125,2.018494e+02,OK
Carson  (LU Decomp),8,12,0.046042,2.018494e+02,OK
Carson  (LU Decomp),8,13,0.045709,2.018494e+02,OK
Carson  (LU Decomp),8,14,0.045666,2.018494e+02,OK
Carson  (LU Decomp),8,15,0.046208,2.018494e+02,OK
Carson  (LU Decomp),8,16,0.045583,2.018494e+02,OK
Carson  (LU Decomp),8,17,0.045750,2.018494e+02,OK
Carson  (LU Decomp),8,18,0.045459,2.018494e+02,OK
Carson  (LU Decomp),8,19,0.045333,2.018494e+02,OK
Carson  (LU Decomp),8,20,0.045875,2.018494e+02,OK
Carson  (LU Decomp),8,21,0.045625,2.018494e+02,OK
Carson  (LU Decomp),8,22,0.045750,2.018494e+02,OK
Carson  (LU Decomp),8,23,0.046583,2.018494e+02,OK
Carson  (LU Decomp),8,24,0.052375,2.018494e+02,OK
Carson  (LU Decomp),8,25,0.046167,2.018494e+02,OK
Carson  (LU Decomp),8,26,0.047208,2.018494e+02,OK
Carson  (LU Decomp),8,27,0.046333,2.018494e+02,OK
Carson  (LU Decomp),8,28,0.045375,2.018494e+02,OK
Carson  (LU Decomp),8,29,0.045416,2.018494e+02,OK
Carson  (LU Decomp),8,30,0.045875,2.018494e+02,OK
Damian  (RREF),8,1,0.081542,4.633506e-12,OK
Damian  (RREF),8,2,0.075625,4.633506e-12,OK
Damian  (RREF),8,3,0.075416,4.633506e-12,OK
Damian  (RREF),8,4,0.075041,4.633506e-12,OK
Damian  (RREF),8,5,0.074375,4.633506e-12,OK
Damian  (RREF),8,6,0.074000,4.633506e-12,OK
Damian  (RREF),8,7,0.073791,4.633506e-12,OK
Damian  (RREF),8,8,0.074209,4.633506e-12,OK
Damian  (RREF),8,9,0.074625,4.633506e-12,OK
Damian  (RREF),8,10,0.074083,4.633506e-12,OK
Damian  (RREF),8,11,0.074167,4.633506e-12,OK
Damian  (RREF),8,12,0.080916,4.633506e-12,OK
Damian  (RREF),8,13,0.085333,4.633506e-12,OK
Damian  (RREF),8,14,0.074292,4.633506e-12,OK
Damian  (RREF),8,15,0.073584,4.633506e-12,OK
Damian  (RREF),8,16,0.074166,4.633506e-12,OK
Damian  (RREF),8,17,0.074084,4.633506e-12,OK
Damian  (RREF),8,18,0.074083,4.633506e-12,OK
Damian  (RREF),8,19,0.073875,4.633506e-12,OK
Damian  (RREF),8,20,0.074125,4.633506e-12,OK
Damian  (RREF),8,21,0.074708,4.633506e-12,OK
Damian  (RREF),8,22,0.074500,4.633506e-12,OK
Damian  (RREF),8,23,0.074959,4.633506e-12,OK
Damian  (RREF),8,24,0.077208,4.633506e-12,OK
Damian  (RREF),8,25,0.073750,4.633506e-12,OK
Damian  (RREF),8,26,0.073667,4.633506e-12,OK
Damian  (RREF),8,27,0.073416,4.633506e-12,OK
Damian  (RREF),8,28,0.073417,4.633506e-12,OK
Damian  (RREF),8,29,0.076833,4.633506e-12,OK
Damian  (RREF),8,30,0.073750,4.633506e-12,OK
Tyler   (Graph-based),8,1,1.625916,2.958007e-12,OK
Tyler   (Graph-based),8,2,1.622708,2.958007e-12,OK
Tyler   (Graph-based),8,3,1.620708,2.958007e-12,OK
Tyler   (Graph-based),8,4,1.585875,2.958007e-12,OK
Tyler   (Graph-based),8,5,1.670958,2.958007e-12,OK
Tyler   (Graph-based),8,6,1.703917,2.958007e-12,OK
Tyler   (Graph-based),8,7,1.585625,2.958007e-12,OK
Tyler   (Graph-based),8,8,1.588000,2.958007e-12,OK
Tyler   (Graph-based),8,9,1.605417,2.958007e-12,OK
Tyler   (Graph-based),8,10,1.583625,2.958007e-12,OK
Tyler   (Graph-based),8,11,1.597125,2.958007e-12,OK
Tyler   (Graph-based),8,12,1.593292,2.958007e-12,OK
Tyler   (Graph-based),8,13,1.600333,2.958007e-12,OK
Tyler   (Graph-based),8,14,1.577750,2.958007e-12,OK
Tyler   (Graph-based),8,15,1.584833,2.958007e-12,OK
Tyler   (Graph-based),8,16,1.602459,2.958007e-12,OK
Tyler   (Graph-based),8,17,1.592125,2.958007e-12,OK
Tyler   (Graph-based),8,18,1.579375,2.958007e-12,OK
Tyler   (Graph-based),8,19,1.619833,2.958007e-12,OK
Tyler   (Graph-based),8,20,1.579000,2.958007e-12,OK
Tyler   (Graph-based),8,21,1.590541,2.958007e-12,OK
Tyler   (Graph-based),8,22,1.600959,2.958007e-12,OK
Tyler   (Graph-based),8,23,1.595083,2.958007e-12,OK
Tyler   (Graph-based),8,24,1.582333,2.958007e-12,OK
Tyler   (Graph-based),8,25,1.600458,2.958007e-12,OK
Tyler   (Graph-based),8,26,1.627959,2.958007e-12,OK
Tyler   (Graph-based),8,27,1.574792,2.958007e-12,OK
Tyler   (Graph-based),8,28,1.581625,2.958007e-12,OK
Tyler   (Graph-based),8,29,1.597708,2.958007e-12,OK
Tyler   (Graph-based),8,30,1.591000,2.958007e-12,OK
Jewell  (Hash + Pivot),16,1,0.454791,4.453581e+01,OK
